Type,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic watches at 95%,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post consumers by type - link clicks,Lifetime Post consumers by type - other clicks,Lifetime Post consumers by type - photo view,Lifetime Post Consumptions by type - link clicks,Lifetime Post Consumptions by type - other clicks,Lifetime Post Consumptions by type - photo view
Photo,2291,2291,0,3516,3516,0,66,36,52,0,0,2475,1474,0,0,64,0,1,38,,1,38,,19,20,4,21,27,4
Photo,158,158,0,228,228,0,383,307,544,0,0,0,0,0,0,205,,6,83,7,6,85,10,,,307,,,544
Photo,4203,4203,0,7377,7377,0,262,150,222,0,0,5152,2946,0,0,196,,8,131,34,9,130,35,25,70,67,26,102,94
Link,3996,3996,0,6974,6974,0,123,58,64,0,0,3714,1967,0,0,101,0,2,71,21,2,70,21,43,17,,44,20,
Photo,2847,2847,0,5031,5031,0,156,95,139,1,1,3544,1862,0,0,109,,5,66,16,6,66,16,18,23,62,19,37,83
Photo,2514,2514,0,4171,4171,0,126,83,116,0,0,2113,1074,0,0,72,,,42,12,,44,13,6,7,71,6,13,97
Photo,5873,5873,0,10310,10310,0,466,368,656,1,1,7220,3684,0,0,378,,9,134,43,12,137,47,112,129,226,116,214,326
Photo,2738,2738,0,3774,3774,0,38,11,14,0,0,1700,914,0,0,35,0,2,26,,2,27,,3,7,3,3,8,3
Link,6761,6761,0,11497,11497,0,203,111,144,3,3,5921,3314,0,0,184,0,6,105,33,11,104,35,61,60,,69,75,
Link,38054,38054,0,66685,66685,0,1386,846,1096,9,9,28199,15357,0,0,890,0,29,687,155,34,684,160,592,347,1,626,469,1
Link,7422,7422,0,12315,12315,0,147,113,138,2,2,9807,5593,0,0,142,0,4,46,,4,46,,60,57,,60,78,
Link,8029,8029,0,13618,13618,0,285,187,239,0,0,6732,3696,0,0,237,0,5,112,37,5,116,41,150,51,1,166,72,1
Photo,4097,4097,0,6088,6088,0,183,128,203,0,0,3462,2041,0,0,138,,4,70,23,4,70,23,8,28,101,8,40,155
Link,7701,7701,0,13432,13432,0,381,306,339,2,2,5224,3028,0,0,242,0,5,88,22,5,89,23,277,38,1,288,50,1
